word	definition	n	x	y
jaw	"0: the part of the skull of a vertebrate that frames the mouth and holds the teeth (jaw.n.01)
 1: the bones of the skull that frame the mouth and serve to open it; the bones that hold the teeth (jaw.n.02)
 2: holding device consisting of one or both of the opposing parts of a tool that close to hold an object (jaw.n.03)
 3: talk socially without exchanging too much information (chew_the_fat.v.01)
 4: talk incessantly and tiresomely (yack.v.01)
 5: chew (food); to bite and grind with the teeth (chew.v.01)
 6: censure severely or angrily (call_on_the_carpet.v.01)"	3		
jew	0: a person belonging to the worldwide group claiming descent from Jacob (or converted to it) and connected by cultural or religious ties (jew.n.01)	3		
jfk	0: 35th President of the United States; established the Peace Corps; assassinated in Dallas (1917-1963) (kennedy.n.01)	3		
jib	"0: any triangular fore-and-aft sail (set forward of the foremast) (jib.n.01)
 1: refuse to comply (resist.v.06)
 2: shift from one side of the ship to the other (jibe.v.02)"	3		
jnd	0: (psychophysics) the difference between two stimuli that (under properly controlled experimental conditions) is detected as often as it is undetected (just-noticeable_difference.n.01)	3		
jnr	0: a son who has the same first name as his father (junior.n.04)	3		
jra	0: a terrorist group organized in 1970 to overthrow the Japanese government and monarchy and to foment world revolution; is said to have close ties with Palestinian terrorists (japanese_red_army.n.01)	3		
kbo	0: any of many minor planets in the Kuiper belt outside the orbit of Neptune at the edge of the solar system (kuiper_belt_object.n.01)	3		
keb	0: Egyptian god of the earth; father of Osiris and Isis (geb.n.01)	3		
khi	0: the 22nd letter of the Greek alphabet (chi.n.02)	3		
khz	0: one thousand periods per second (kilohertz.n.01)	3		
kob	0: an orange-brown antelope of southeast Africa (kob.n.01)	3		
kos	"0: (in India) a unit of length having different values in different localities (kos.n.01)
 1: a blow that renders the opponent unconscious (knockout.n.02)"	3		
kwa	0: a group of African language in the Niger-Congo group spoken from the Ivory Coast east to Nigeria (kwa.n.01)	3		
lah	0: the syllable naming the sixth (submediant) note of a major or minor scale in solmization (la.n.03)	3		
lao	"0: a member of a Buddhist people inhabiting the area of the Mekong River in Laos and Thailand and speaking the Lao language; related to the Thais (lao.n.01)
 1: the Tai language of a Buddhist people living in the area of the Mekong River in Thailand and Laos (lao.n.02)
 2: of or relating to a member of the Buddhist people inhabiting the Mekong river in Laos and Thailand (lao.a.01)"	3		
lav	0: a room or building equipped with one or more toilets (toilet.n.01)	3		
ldl	0: a lipoprotein that transports cholesterol in the blood; composed of moderate amount of protein and a large amount of cholesterol; high levels are thought to be associated with increased risk of coronary heart disease and atherosclerosis (low-density_lipoprotein.n.01)	3		
leg	"0: a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle (leg.n.01)
 1: a structure in animals that is similar to a human leg and used for locomotion (leg.n.02)
 2: one of the supports for a piece of furniture (leg.n.03)
 3: a part of a forked or branching shape (branch.n.03)
 4: the limb of an animal used for food (leg.n.05)
 5: a prosthesis that replaces a missing leg (peg.n.04)
 6: a cloth covering consisting of the part of a pair of trousers that covers a person's leg (leg.n.07)
 7: (nautical) the distance traveled by a sailing vessel on a single tack (leg.n.08)
 8: a section or portion of a journey or course (stage.n.06)"	3	66	
lei	"0: flower arrangement consisting of a circular band of foliage or flowers for ornamental purposes (wreath.n.01)
 1: the basic unit of money in Moldova (leu.n.01)
 2: the basic unit of money in Romania (leu.n.02)"	3		
lek	0: the basic unit of money in Albania (lek.n.01)	3		
leu	"0: the basic unit of money in Moldova (leu.n.01)
 1: the basic unit of money in Romania (leu.n.02)"	3		
lev	0: the basic unit of money in Bulgaria (lev.n.01)	3		
lgb	0: a smart bomb that seeks the laser light reflected off of the target and uses it to correct its descent (laser-guided_bomb.n.01)	3		
lgv	0: infectious disease caused by a species of chlamydia bacterium; transmitted by sexual contact; characterized by genital lesions and swelling of lymph nodes in the groin (lymphogranuloma_venereum.n.01)	3		
lii	0: being two more than fifty (fifty-two.s.01)	3		
liv	0: being four more than fifty (fifty-four.s.01)	3		
llb	0: a three-year law degree (bachelor_of_laws.n.01)	3		
lld	0: an honorary law degree (doctor_of_laws.n.01)	3		
ltm	0: your general store of remembered information (long-term_memory.n.01)	3		
lvi	0: being six more than fifty (fifty-six.s.01)	3		
lxi	0: being one more than sixty (sixty-one.s.01)	3		
lxv	0: being five more than sixty (sixty-five.s.01)	3		
lxx	"0: the cardinal number that is the product of ten and seven (seventy.n.01)
 1: being ten more than sixty (seventy.s.01)"	3		
lye	0: a strong solution of sodium or potassium hydroxide (lye.n.01)	3		
mbd	0: a condition (mostly in boys) characterized by behavioral and learning disorders (attention_deficit_disorder.n.01)	3		
mek	0: a terrorist organization formed in the 1960s by children of Iranian merchants; sought to counter the Shah of Iran's pro-western policies of modernization and opposition to communism; following a philosophy that mixes Marxism and Islam it now attacks the Islamic fundamentalists who deposed the Shah (mujahidin-e_khalq_organization.n.01)	3		
meq	0: one-thousandth of an equivalent (milliequivalent.n.01)	3		
mho	0: a unit of conductance equal to the reciprocal of an ohm (mho.n.01)	3		
mib	0: a unit of information equal to 1024 kibibytes or 2^20 (1,048,576) bytes (megabyte.n.02)	3		
mko	0: a terrorist organization formed in the 1960s by children of Iranian merchants; sought to counter the Shah of Iran's pro-western policies of modernization and opposition to communism; following a philosophy that mixes Marxism and Islam it now attacks the Islamic fundamentalists who deposed the Shah (mujahidin-e_khalq_organization.n.01)	3		
mon	"0: the second day of the week; the first working day (monday.n.01)
 1: a member of a Buddhist people living in Myanmar and adjacent parts of Thailand (mon.n.02)
 2: the Mon-Khmer language spoken by the Mon (mon.n.03)"	3	66	
mya	0: type genus of the family Myacidae (mya.n.01)	3		
myg	0: one ten thousandth of a centner (myriagram.n.01)	3		
mym	0: a metric unit of length equal to 10,000 meters (myriameter.n.01)	3		
nad	0: a coenzyme present in most living cells and derived from the B vitamin nicotinic acid; serves as a reductant in various metabolic processes (nicotinamide_adenine_dinucleotide.n.01)	3		
	"0: your grandmother (nan.n.01)
 1: the mother of your father or mother (grandma.n.01)
 2: a river of western Thailand flowing southward to join the Ping River to form the Chao Phraya (nan.n.03)
 3: leavened bread baked in a clay oven in India; usually shaped like a teardrop (nan.n.04)"	3		
nay	"0: a negative (nay.n.01)
 1: not this merely but also; not only so but (nay.r.01)"	3		
nbe	0: the compass point that is one point east (clockwise) of due north (north_by_east.n.01)	3		
nbw	0: the compass point that is one point west of due north (north_by_west.n.01)	3		
nec	0: an acute inflammatory disease occurring in the intestines of premature infants; necrosis of intestinal tissue may follow (necrotizing_enterocolitis.n.01)	3		
nee	0: (meaning literally `born') used to indicate the maiden or family name of a married woman (nee.s.01)	3		
ney	0: French marshal in the Napoleonic Wars (1769-1815) (ney.n.01)	3		
nga	0: a combat support agency that provides geographic intelligence in support of national security (national_geospatial-intelligence_agency.n.01)	3		
ngb	0: the agency that administers the Army National Guard and the Air National Guard; provides liaison between the Army and the Air Force and various National Guard units (national_guard_bureau.n.01)	3		
ngf	0: a protein that is involved in the growth of peripheral nerve cells (nerve_growth_factor.n.01)	3		
nih	0: an agency in the Department of Health and Human Services whose mission is to employ science in the pursuit of knowledge to improve human health; is the principal biomedical research agency of the federal government (national_institutes_of_health.n.01)	3		
nij	0: the law enforcement agency that is the research and development branch of the Department of Justice (national_institute_of_justice.n.01)	3		
nne	0: the compass point that is midway between north and northeast (north_northeast.n.01)	3		
nnw	0: the compass point that is midway between north and northwest (north_northwest.n.01)	3		
nog	"0: a wooden pin pushed or driven into a surface (peg.n.01)
 1: a wooden block built into a masonry wall so that joinery structure can be nailed to it (nog.n.02)"	3		
non	0: negation of a word or group of words (not.r.01)	3		
npa	0: a terrorist organization that is the militant wing of the Communist Party of the Philippines; a Maoist organization formed to overthrow the government; uses hit squads called Sparrow Units; opposes United States military presence in the Philippines (new_people's_army.n.01)	3		
nra	0: a powerful lobby that advocates the right to own and bear arms and rejects any gun regulation by the government (national_rifle_association.n.01)	3		
nrc	0: an independent federal agency created in 1974 to license and regulate nuclear power plants (nuclear_regulatory_commission.n.01)	3		
nro	0: an intelligence agency in the United States Department of Defense that designs and builds and operates space reconnaissance systems to detect trouble spots worldwide and to monitor arms control agreements and environmental issues and to help plan military operations (national_reconnaissance_office.n.01)	3		
nsf	0: an independent agency of the federal government responsible for the promotion of progress in science and engineering by supporting programs in research and education (national_science_foundation.n.01)	3		
nsu	0: inflammation of the urethra of unknown cause (nonspecific_urethritis.n.01)	3		
nsw	0: the agency that provides units to conduct unconventional and counter-guerilla warfare (naval_special_warfare.n.01)	3		
oar	0: an implement used to propel or steer a boat (oar.n.01)	3		
oed	0: an unabridged dictionary constructed on historical principles (oxford_english_dictionary.n.01)	3		
off	"0: kill intentionally and with premeditation (murder.v.01)
 1: not in operation or operational (off.a.01)
 2: below a satisfactory level (off.s.02)
 3: (of events) no longer planned or scheduled (off.a.03)
 4: in an unpalatable state (off.s.04)
 5: not performing or scheduled for duties (off.s.05)
 6: from a particular thing or place or position (`forth' is obsolete) (away.r.01)
 7: at a distance in space or time (off.r.02)
 8: no longer on or in contact or attached (off.r.03)"	3	44	
oig	0: the investigative arm of the Federal Trade Commission (office_of_inspector_general.n.01)	3		
ooh	0: express admiration and pleasure by uttering `ooh' or `aah' (ooh.v.01)	3		
opv	0: an oral vaccine (containing live but weakened poliovirus) that is given to provide immunity to poliomyelitis (sabin_vaccine.n.01)	3		
orr	0: Canadian hockey player (born 1948) (orr.n.01)	3		
